AC_TYPEID,SSD_NAME
007,AERO COMMANDER 200
008,AERO MACCHI AL-60
009,AERONCA 7-AC
010,BEECH 35/36
020,BELLANCA CH-300
024,BEECH B-23
026,GIPPS AERO GA8 AIR
029,CESSNA 150/152
030,CESSNA 180
031,CESSNA 180A/B
032,CESSNA 180C/D/E/F
033,CESSNA 185A/B/C
034,HELIO H250/295/395
035,CESSNA 206/207/209
036,CESSNA 172 SKYHAWK
037,CESSNA 195
038,CESSNA CARDINAL
039,CESSNA 182 SKYLANE
040,DEHAVILLAND DHC2
041,CESSNA 205
042,DEHAVILLAND DHC3
044,LAKE LA-4
050,HOWARD DGA-15P
051,MOONEY M-21
052,MOONEY M-20C/E/G
065,NOORDUYN UC-64AS
070,PILATUS PORTER PC6
071,PILATUS PC6/350
079,PIPER PA-32
080,PIPER PA-18
081,PIPER PA-14
082,PIPER PA-22
083,PIPER PA-24
084,PIPER PA-28
085,STINSON SR-9
086,PIPER PA-12
087,STINSON V-77
088,STINSON SR-10E
091,FLT/AMPHIB TURBINE
092,PISTON-LT 450 HP
093,PISTON-450+ HP
094,LAND-TURBINE
095,PISTON-LT 450 HP
096,PISTON-450+ HP
097,STIN.FW 300-450 HP
098,STIN.FW LT 300 HP
102,P2012 TRAVELER
103,AERO COMANDR 500/6
104,AERO COMANDR 680FL
105,BEECH C-50
110,BEECH 18
111,BEECH KINGAIR 90
113,BEECH B-95
115,BEECH AT-11
117,BEECH BARON B-55
120,CESSNA T-50
121,CESSNA C-421
122,CESSNA C-310
123,CESSNA C-340/335
125,CESSNA C-402/402A
128,CESSNA 404
130,C-28 5ACF PBY
131,BRITT-NORMAN BN2/A
132,C-28 5ACF-PBY EMQ
133,BEECH QUEEN AIR
140,CONVAIR CV-240
143,CONVAIR CV-340/440
148,CESSNA C-337
149,CESSNA C-401
150,CURTISS C46 SERIES
152,CESSNA C-411
153,DHC4 CARIBOU
158,DOUGLAS DC-2
159,HAMILTON B-18S
160,DOUGLAS DC-3
161,DORNIER DO-28
166,CESSNA C-336
167,FAIRCHILD C-82A
170,GRUMMAN G-21A
171,GRUMMAN SA-16A-GR
172,GRUMMAN G-44/44A
173,GRUMMAN G-73
174,DOVE DH-104
175,LOCKHEED L-12A
180,MARTIN 202/202A
185,MARTIN 404
190,PIPER PA-23
193,PIPER T-1020
194,PIPER PA-31/T-1020
195,PIPER PA-34/39
200,BOEING 377
201,BN2A TRISLANDER
205,DH-114 HERON
210,DOUGLAS DC-4
216,DOUGLAS DC-6
218,DOUGLAS DC-6A
220,DOUGLAS DC-6B
225,DOUGLAS DC-7A/B
228,DOUGLAS DC-7C
240,LOCKHEED L-049
242,LOCKHEED L-649
244,LOCKHEED L-749/A
247,LOCKHEED L-1049
248,LOCKHEED 1049C/D/E
252,LOCKHEED L-1049G/H
258,LOCKHEED L-1649A
280,SIKORSKY VS-44A
303,SUD ALOUETTE
311,BELL B-47D
312,BELL B-47G
313,BELL B-47G2
314,BELL B-47J2
315,BELL B-206A
317,HU-1H 
318,AIRBUS A318
320,BOEING BV-107
321,BOEING BV-44
322,BRANTLEY B-2
323,FAIRCHILD FH-1100
325,AGUSTA A-119 KOALA
330,BOELKOW BO-105C
335,AIRBUS INDUSTRIE A
339,AIRBUS A330-900
340,EUROCOPTER AS350 
343,AIRBUS A330-223/24
345,BELL 212 TWIN
350,HUGHES 300
355,HUGHES-500/530
359,AIRBUS A350-900
360,ROBINSON R44
362,BHT 206 L3 
364,BHT 206 L4
366,BELL BHT 407
368,BELL BHT 412
370,EURO BO-105
380,SIKORSKY S-51
381,SIKORSKY S-55
385,SIKORSKY S-58A/B/C
386,SIKORSKY S-61N
387,SIKORSKY S-61
388,SIKORSKY S-61L
389,SIKORSKY S-62/A
390,SIKORSKY S-76
393,AGUSTAWESTLAND 139
395,DHC-6-400 TWIN OTT
396,WESTLAND SR-N5
401,BEECH 1300
402,BEECH 18
403,BEECH 99
404,BEECH C99
405,BEECH 1900 A/B/C/D
406,BEECH 200 KINGAIR
407,BAE-748
408,BAE-ATP
409,BEECH B-100
410,ROCKWELL 680-W/690
411,BEECHCRAFT 65-A90
412,CASA 212
413,CASA 235
415,CESSNA C208B
416,CESSNA 208
417,CESSNA 406
418,CESSNA C-441
420,CONVAIR CV-540
421,CESSNA SKYCOURIER 
422,QUEST KODIAK 100
425,PIAGGIO P180 AVANT
430,CONVAIR CV-580
431,SOCATA TBM850
432,SAAB 2000
433,SOCATA TBM-700
434,KING AIR A100
435,CONVAIR CV-600
437,BEECH BARON B-58
440,CONVAIR CV-640
441,ATR-42
442,ATR-72
443,AIR TRACTOR AT-802
444,ANTONOV 24/26/32
445,CONVAIR CV-660
448,DORNIER 228
449,DORNIER 328
450,F-27
451,PIPISTREL VIRUS SW
452,FOKKER 50
454,FH-227
455,FAIRCHILD METRO 23
456,SAAB-FAIRCHD 340/B
457,BEECH KING AIR 
458,BEECH B-350
459,SAAB-FRCHILD 340/A
460,GRUMMAN G-21G
461,EMB-120 BRASILIA
462,SWEARINGEN MERLIN
463,MITSUBISHI MU-2/B
464,EMBRAER BANDEIRNTE
465,NIHON YS-11
466,SWEARINGEN METRO 2
467,SWEARINGEN METRO 3
468,H-P JETSTREAM
469,BAE JETSTREAM 31
470,GULFSTREAM I
471,JETSTREAM 41
473,GULFSTREAM I COMM
474,HAWKER SIDELEY 748
475,NORD 262
476,PIPER PA-30/31T
477,MOHAWK 298
478,PIPER T-1040
479,PILATUS PC-12
480,PILATUS PORTR PC6A
481,PILATUS PORTR PC6B
482,DHC8-Q400  DASH-8
483,DHC8-100 DASH 8
484,DHC8-300 DASH 8
485,DEHAVILLAND DHC-6
486,SHORT HARLAND SC-7
487,SHORTS 330
488,CARSTEDT CJ-600A
489,SHORTS 360
490,VOLPAR TURBO 18
491,DEHAVILLAND DHC8-2
495,HAWKER 4000
501,GULFSTREAM G500C
507,ANTONOV 12
508,ANTONOV AN-22-F
510,AW-650
515,CHALLENGER 350
520,CANADAIR CL-44D
530,BOMBARDIER CRJ550
541,ILYUSHIN 18
550,LOCKHEED L-188A/C
552,LOCKHEED L-382B
553,LOCKHEED L100-10
555,LOCKHEED L100-20
556,LOCKHEED L100-30
560,SHORTS-BELFAST-SH5
570,DEHAVILLAND DASH-7
575,BOMBARDIER LEARJET
580,VV-700
584,VV-800
601,FOKKER F28-1000
602,F28-4000/6000
603,FOKKER 100
604,FOKKER 70
605,BAC-111-200
606,BEECHCRAFT PREMIER
607,ANTONOV AN-72/74
608,BOEING 717-200
609,CHALLENGER 300
610,BAC-111-400
611,AERO COMMNDER 1121
612,BOEING 737-700/LR
613,AEROSPATL CORVETTE
614,BOEING 737-800
615,BOEING 737-5/600LR
616,BOEING 737-500
617,BOEING 737-400
618,BOEING 737-300LR
619,BOEING 737-300
620,BOEING 737-100/200
621,BOEING 737-200C
622,BOEING 757-200
623,BOEING 757-300
624,BOEING 767-400/ER
625,BOEING 767-200/ER
626,BOEING 767-300/ER
627,BOEING 777-200
628,CANADAIR RJ-100/ER
629,RJ-200ER/RJ-440
630,DOUGLAS DC-9-10
631,CANADAIR RJ-700
632,DORNIER 328 JET
633,BOEING 737-600
634,BOEING 737-900
635,DOUGLAS DC-9-15F
636,CESSNA CITATION 
637,BOEING 777-300/ER
638,CANADAIR CRJ 900
639,CITATIONJET/CJ
640,DOUGLAS DC-9-30
641,GULFSTREAM G-IV
642,BEECH HAWKER 400XP
643,WESTWIND II
644,A-318
645,DOUGLAS DC-9-40
646,CSSNA CITATIONIII
647,CSSNA CITATION X
648,GULFSTREAM G200
649,TUPOLEV TU-204
650,DOUGLAS DC-9-50
651,GULFSTEAM G150
652,CANADAIR CL-600
653,CESSNA CE-680 
654,MD-87
655,MD-80/1/2/3/8
656,MD-90
657,BOMBARDIER CRJ 705
658,BOMBARDIER BD-700
659,LEARJET 60
660,LEAR-23
661,LEAR-24
662,LEAR-25
663,LEAR-35
664,HFB-320 HANSA
665,BAE HS-125
666,LEAR 55
667,GULFSTREAM V/ G-V 
668,CHALLENGER 601
669,CHALLENGER 604/605
670,ROCKWELL SABRELINR
671,GULFSTREAM G450
672,HAWKER 900XP
673,EMBRAER-175
674,EMBRAER-135
675,EMBRAER-145
676,EMBRAER-140
677,EMBRAER-EMB-170
678,EMBRAER 190
679,GRUMMAN G-1159
680,CARAVELLE SE-210
681,DASSAULT FALCON
682,DASSAULT 2000
683,BOEING B777-F
684,BEECH HAWKER 800XP
685,CESSNA 510/560XL 
686,BOMBARDIER LJET45
687,AIRBUS A330-300/33
688,GLOBAL 5000
689,A300-600ST(BELUGA)
690,A300B/C/F-100/200
691,A300-600/R/CF/RCF
692,A310-200C/F
693,A310-300
694,A320-100/200
695,A300-B2
696,A330-200/220F
697,A340
698,A319
699,A321/LR
710,BOEING 727-100
711,BOEING 727-100C/QC
714,SUKHOI SUPERJ 100
715,BOEING 727-200
716,BOMBARDIER GLOBAL 
717,MRJ-70/STD/ER/LR
718,MRJ-90/STD/SR/LR
719,A319-200N
720,BOMBARDIER CS100
721,A321-200N
722,A320-200N
723,A220-100 BD-500-1A
724,A220-300 BD-500-1A
725,DASSAULT FALCON 8X
730,DOUGLAS DC-10-10
731,DOUGLAS DC-10-20
732,DOUGLAS DC-10-30
733,DOUGLAS DC-10-40
735,DOUGLAS DC-10-30CF
737,BOEING 737 MAX 7
740,MD-11
745,EMBRAER-550
746,EMBRAER EMB500 PHE
748,EMBRAER EMB195
749,GULFSTREAM AEROSPA
750,GULFSTREAM G650
751,BOMBARDIER GLOBAL 
752,GULFSTREAM AEROSPA
753,GULFSTREAM AEROSPA
754,EMBRAER PRAETOR 60
755,EMBRAER LEGACY 600
760,L-1011-1/100/200
