route,trend_slope,season_amp_pct,outlier_count,mae_holt,mae_sarima
CLT → LHR,342.22,53.4,1,0.2,0.1
LHR → CLT,322.98,85.5,0,0.2,0.2
ATL → ICN,310.92,89.0,0,0.4,0.4
JFK → AUA,296.32,236.5,1,0.6,0.6
AUA → JFK,288.13,241.3,2,0.6,0.6
EWR → LHR,283.29,96.7,2,0.1,0.2
IAD → SAL,262.88,71.1,3,1.2,0.3
SFO → FRA,237.0,77.5,1,0.2,0.2
SAL → IAD,236.99,64.3,3,0.5,0.1
ATL → AMS,235.85,78.8,0,0.3,0.5
MIA → BOG,234.98,53.7,1,0.1,0.1
ICN → ATL,234.04,190.6,0,0.4,0.4
FRA → MIA,232.64,59.2,0,0.3,0.1
MIA → FRA,232.16,44.8,0,0.2,0.1
BOG → MIA,231.95,62.2,1,0.2,0.1
FRA → SFO,231.12,90.3,1,0.2,0.1
AMS → ATL,230.87,70.7,2,0.2,0.3
LAX → FRA,225.72,65.5,0,0.1,0.2
ATL → LHR,219.6,94.3,1,0.2,0.2
MGA → MIA,217.9,47.9,0,0.3,0.1
FRA → LAX,215.82,73.3,0,0.1,0.2
JFK → ZRH,207.63,95.2,4,0.4,0.1
BOG → MCO,204.94,40.8,1,0.6,0.1
BOG → JFK,199.7,80.8,2,0.2,0.2
MCO → BOG,197.5,36.0,1,0.6,0.1
ZRH → JFK,194.65,82.0,6,0.2,0.1
LHR → ATL,191.44,90.5,1,0.2,0.2
EWR → TLV,191.19,66.4,0,0.1,0.2
DUB → ORD,169.63,102.5,1,0.1,0.3
TLV → JFK,168.54,91.5,2,0.2,0.2
MIA → POS,164.75,125.0,1,0.2,0.1
IAD → AUH,163.72,108.6,0,0.2,0.2
MEX → ORD,159.49,114.9,1,0.4,0.5
MAD → SJU,159.08,136.1,1,0.2,0.4
SJO → MIA,158.58,142.4,0,0.3,0.4
MIA → EZE,158.15,59.8,0,0.1,0.1
LAX → SAL,157.74,96.0,7,0.1,0.3
LIS → MIA,157.73,70.1,1,0.1,0.3
NBO → JFK,156.59,105.0,2,0.1,0.2
AUH → IAD,153.03,113.9,0,0.2,0.1
YYC → LAX,149.58,154.8,0,0.7,0.6
SJU → MAD,149.45,126.8,1,0.2,0.4
JFK → NBO,145.16,84.1,1,0.1,0.2
ATL → SJO,143.33,112.8,1,0.3,0.3
ORD → DUB,142.46,111.5,4,0.1,0.3
KEF → SEA,142.18,262.0,0,0.4,0.6
IST → DFW,139.7,64.7,0,0.1,0.1
MIA → SJO,137.7,147.2,0,0.4,0.3
DFW → SJD,137.33,78.9,1,0.6,0.2
JFK → SAL,137.09,88.4,3,0.5,0.7
DTW → ICN,136.8,127.0,1,0.3,0.1
ORD → WAW,136.19,161.2,0,0.3,0.3
SJO → ATL,135.89,117.9,1,0.3,0.3
EZE → MIA,134.25,74.6,1,0.2,0.1
BOS → ZRH,132.34,159.5,3,0.4,0.3
EWR → MBJ,131.08,133.9,1,0.4,0.1
SJD → DFW,130.05,81.2,1,0.6,0.2
ZRH → BOS,129.75,126.5,3,0.4,0.4
DFW → IST,128.29,74.1,0,0.1,0.1
YVR → LAX,127.44,139.2,4,0.2,0.6
SAL → LAX,124.32,102.6,2,0.1,0.2
ATL → GRU,123.42,118.4,1,0.3,0.2
SFO → SAL,122.33,79.8,1,0.1,0.2
CUN → AUS,116.72,119.7,3,0.4,0.3
